ROC AUC,K
0.7556700620722586,20.0
0.7551527932516314,36.0
0.7547449466815217,68.0
0.6311649659863946,7.0
0.6046626984126984,8.0
0.593891723356009,6.0
0.8198846153846154,6.0
0.8127307692307691,5.0
0.8059615384615385,7.0
0.9295774647887325,3.0
0.9295774647887324,5.0
0.9248826291079812,14.0
0.5877398862342713,40.0
0.5867989064467246,39.0
0.5865249055721836,38.0
0.5297308721995209,12.0
0.5266309708327462,19.0
0.5262787093137947,17.0
0.6578611111111111,68.0
0.6511944444444445,62.0
0.6507777777777779,66.0
0.862059620596206,17.0
0.8620596205962059,18.0
0.8604336043360435,19.0
0.7841561423650976,26.0
0.78300803673938,27.0
0.7795637198622273,25.0
0.7309888059701493,68.0
0.7300037313432837,69.0
0.7295373134328359,65.0
0.9661377944760358,57.0
0.9656300771730302,59.0
0.9653609870024371,65.0
