ROC AUC,K
0.7608725927104886,41.0
0.7608725927104886,45.0
0.7606636956867739,44.0
0.7400085034013606,6.0
0.7341269841269842,4.0
0.7194586167800453,5.0
0.8456538461538462,5.0
0.8385384615384616,6.0
0.8245384615384617,7.0
0.993661971830986,69.0
0.993661971830986,68.0
0.9924882629107982,63.0
0.650563127162793,42.0
0.650280526948681,43.0
0.6502473075821202,47.0
0.5321967028321825,19.0
0.5310694659715371,20.0
0.5300831337184725,12.0
0.6990277777777778,69.0
0.6973888888888888,66.0
0.6971944444444444,68.0
0.8777777777777778,8.0
0.8775067750677507,9.0
0.8742547425474255,7.0
0.785878300803674,25.0
0.7858783008036739,26.0
0.7853042479908151,40.0
0.7356716417910449,67.0
0.7353619402985075,65.0
0.7353544776119404,66.0
0.9874136880584891,13.0
0.9869618196588139,17.0
0.9867181153533714,14.0
