ROC AUC,K
0.7598778449785135,35.0
0.7597087378640777,44.0
0.7596192105681998,38.0
0.7391581632653061,6.0
0.7355442176870748,4.0
0.7161281179138321,5.0
0.8456538461538463,5.0
0.8383461538461539,6.0
0.822423076923077,7.0
0.996244131455399,60.0
0.9943661971830987,69.0
0.9943661971830987,41.0
0.6501662617516455,46.0
0.6500813285484881,45.0
0.6499913299809259,49.0
0.5317035367056503,26.0
0.5309990136677468,12.0
0.5300831337184725,20.0
0.7005277777777777,68.0
0.7004166666666666,69.0
0.6990277777777778,67.0
0.8761517615176151,10.0
0.8750677506775068,9.0
0.8742547425474253,7.0
0.7881745120551091,26.0
0.7847301951779564,25.0
0.7789896670493686,39.0
0.7371902985074629,67.0
0.7363880597014925,69.0
0.7363097014925373,68.0
0.9873883021933388,15.0
0.9872740658001624,18.0
0.9872613728675872,16.0
