ROC AUC,K
0.7610814897342033,41.0
0.760613958300175,45.0
0.7604249562310997,44.0
0.7381660997732425,6.0
0.733843537414966,4.0
0.713860544217687,5.0
0.8201538461538461,5.0
0.8171153846153847,8.0
0.8128846153846154,10.0
0.9985915492957746,41.0
0.9985915492957746,40.0
0.9981220657276996,25.0
0.6500094710534449,49.0
0.6499806102562555,41.0
0.6498671696534254,42.0
0.5315626320980695,26.0
0.5312808228829081,20.0
0.5274059461744398,19.0
0.7001666666666667,66.0
0.6992777777777778,69.0
0.6987222222222222,68.0
0.8804878048780487,2.0
0.872628726287263,8.0
0.8718157181571816,10.0
0.7847301951779564,26.0
0.7835820895522387,40.0
0.7830080367393799,25.0
0.7359141791044777,69.0
0.7354738805970151,62.0
0.7354216417910449,68.0
0.9826056051990251,12.0
0.982580219333875,13.0
0.9824735987002438,10.0
