,ALOI_withoutdupl_norm.arff,,Glass_withoutdupl_norm.arff,,literature/Ionosphere/Ionosphere_withoutdupl_norm.arff,,literature/KDDCup99/KDDCup99_withoutdupl_norm_idf.arff,,literature/Lymphography/Lymphography_withoutdupl_norm_idf.arff,,literature/PenDigits/PenDigits_withoutdupl_norm_v10.arff,,literature/Shuttle/Shuttle_withoutdupl_norm_v10.arff,,literature/Waveform/Waveform_withoutdupl_norm_v10.arff,,literature/WBC/WBC_withoutdupl_norm_v10.arff,,literature/WDBC/WDBC_withoutdupl_norm_v10.arff,,literature/WPBC/WPBC_withoutdupl_norm.arff,
ABOD,76.8%,,84.9%,,92.6%,,77.5%,,97.4%,,95.9%,,31.0%,,64.7%,,93.8%,,92.5%,,47.7%,
KNN,74.1%,2,87.5%,9,92.7%,2,97.9%,69,100.0%,15,99.2%,13,81.8%,4,77.3%,69,99.7%,40,98.6%,68,54.1%,13
LOF,78.3%,9,86.8%,12,90.5%,6,68.5%,41,100.0%,62,96.6%,68,83.7%,6,75.1%,69,99.3%,62,98.8%,67,52.5%,24
COF,80.4%,,85.5%,,85.9%,,55.6%,,99.2%,,92.4%,,35.5%,,68.3%,,76.0%,,94.6%,,47.4%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
