,ALOI_withoutdupl_norm.arff,,Glass_withoutdupl_norm.arff,,Ionosphere_withoutdupl_norm.arff,,KDDCup99_withoutdupl_norm_idf.arff,,Lymphography_withoutdupl_norm_idf.arff,,PenDigits_withoutdupl_norm_v10.arff,,Shuttle_withoutdupl_norm_v10.arff,,Waveform_withoutdupl_norm_v10.arff,,WBC_withoutdupl_norm_v10.arff,,WDBC_withoutdupl_norm_v10.arff,,WPBC_withoutdupl_norm.arff,
,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k
expon_gen,74.3%,3,87.1%,2,90.1%,2,95.0%,69,99.3%,13,99.1%,12,84.2%,5,78.5%,62,98.8%,10,98.5%,42,53.2%,14
chi2_gen,74.4%,3,87.8%,2,90.1%,2,96.9%,69,100.0%,38,98.4%,6,84.5%,5,78.6%,66,99.8%,30,99.0%,56,53.2%,26
gamma_gen ,74.5%,2,88.0%,2,90.1%,2,96.7%,69,100.0%,8,98.3%,12,82.0%,5,78.6%,66,99.9%,40,98.9%,68,53.2%,26
weibull_min_gen,74.4%,2,87.5%,10,90.1%,2,96.8%,69,100.0%,8,98.2%,9,83.9%,5,78.5%,67,99.8%,26,98.9%,64,53.3%,12
lognorm_gen ,74.5%,3,87.5%,9,89.6%,5,96.7%,65,100.0%,8,98.7%,12,84.8%,5,78.5%,66,99.8%,69,98.7%,48,53.1%,20
invgauss_gen ,74.6%,3,88.5%,2,90.1%,2,96.5%,69,100.0%,8,99.1%,12,84.5%,5,78.6%,66,99.5%,4,98.7%,25,53.1%,19
rayleigh_gen ,74.3%,3,87.5%,2,90.1%,2,95.7%,69,99.9%,4,97.6%,6,84.8%,5,78.8%,66,99.0%,33,97.5%,20,53.2%,12
wald_gen,74.4%,3,87.8%,2,90.1%,2,94.9%,69,100.0%,26,99.1%,9,84.5%,5,78.6%,69,99.8%,69,98.7%,53,53.2%,12
pareto_gen,74.5%,3,87.9%,2,90.1%,2,96.4%,69,100.0%,13,99.1%,12,84.3%,5,78.6%,62,99.2%,4,98.8%,42,53.3%,19
levy_gen ,74.5%,2,88.5%,2,90.1%,2,96.8%,69,100.0%,8,99.1%,14,84.1%,5,78.4%,56,99.9%,19,99.1%,50,53.6%,14
nakagami_gen,74.5%,3,88.0%,2,90.1%,2,96.5%,69,100.0%,8,97.9%,10,84.6%,5,78.4%,68,99.8%,17,99.0%,63,53.2%,12
logistic_gen,73.8%,3,87.2%,10,90.2%,2,94.3%,69,100.0%,8,96.8%,8,84.2%,5,78.4%,58,96.7%,23,96.9%,39,53.2%,19
powerlaw_gen,74.5%,3,87.4%,10,89.9%,2,96.9%,69,100.0%,8,99.1%,9,82.8%,5,78.5%,59,99.8%,28,98.9%,64,53.1%,20
skewnorm_gen,74.3%,3,87.7%,2,90.1%,2,95.9%,69,100.0%,8,98.3%,9,84.6%,5,78.5%,67,99.2%,61,98.3%,41,52.9%,21
