Score,k,,,,,
0.677400312,3,Annthyroid,simplified_lof,,,
0.758077352,51,Arrhythmia,simplified_lof,,,
0.537776314,70,Cardiotocography,simplified_lof,,,
0.669722222,70,HeartDisease,simplified_lof,,,
0.758897819,51,Hepatitis,simplified_lof,,,
0.742117355,18,InternetAds,simplified_lof,,,
0.847513859,70,PageBlocks,simplified_lof,,,
0.721088435,6,Parkinson,simplified_lof,,,
0.730537313,70,Pima,simplified_lof,,,
0.640268893,70,SpamBase,simplified_lof,,,
0.910429064,70,Stamps,simplified_lof,,,
0.566802111,3,Wilt,simplified_lof,,,
0.789157318,28,Annthyroid,ldof,,,
0.75181446,6,Arrhythmia,ldof,,,
0.56170179,50,Cardiotocography,ldof,,,
0.543222222,5,HeartDisease,ldof,,,
0.729047233,69,Hepatitis,ldof,,,
0.646819351,41,InternetAds,ldof,,,
0.802108608,70,PageBlocks,ldof,,,
0.529761905,23,Parkinson,ldof,,,
0.585029507,65,Pima,ldof,,,
0.5,2,SpamBase,ldof,,,
0.706963149,69,Stamps,ldof,,,
0.698365399,16,Wilt,ldof,,,
0.67668731,2,Annthyroid,odin,,,
0.760604018,44,Arrhythmia,odin,,,
0.557608788,70,Cardiotocography,odin,,,
0.699888889,69,HeartDisease,odin,,,
0.789896679,26,Hepatitis,odin,,,
0.722096755,14,InternetAds,odin,,,
0.872806616,70,PageBlocks,odin,,,
0.737386621,6,Parkinson,odin,,,
0.736037313,68,Pima,odin,,,
0.650495628,40,SpamBase,odin,,,
0.919098351,64,Stamps,odin,,,
0.561776173,2,Wilt,odin,,,
0.5,2,Annthyroid,kdeos,,,
0.5,2,Arrhythmia,kdeos,,,
0.503218841,36,Cardiotocography,kdeos,,,
0.65425,53,HeartDisease,kdeos,,,
0.707508108,36,Hepatitis,kdeos,,,
0.5,2,InternetAds,kdeos,,,
0.649880739,70,PageBlocks,kdeos,,,
0.7694161,57,Parkinson,kdeos,,,
0.667865676,70,Pima,kdeos,,,
0.5,2,SpamBase,kdeos,,,
0.78510205,70,Stamps,kdeos,,,
0.709467655,62,Wilt,kdeos,,,
0.677400312,3,Annthyroid,ldf,,,
0.758077352,51,Arrhythmia,ldf,,,
0.537776314,70,Cardiotocography,ldf,,,
0.669722222,70,HeartDisease,ldf,,,
0.758897819,51,Hepatitis,ldf,,,
0.742117355,18,InternetAds,ldf,,,
0.847513859,70,PageBlocks,ldf,,,
0.721088435,6,Parkinson,ldf,,,
0.730537313,70,Pima,ldf,,,
0.640268893,70,SpamBase,ldf,,,
0.910429064,70,Stamps,ldf,,,
0.566802111,3,Wilt,ldf,,,
0.720947091,38,Annthyroid,loop,,,
0.757604997,70,Arrhythmia,loop,,,
0.568359619,21,Cardiotocography,loop,,,
0.5555,70,HeartDisease,loop,,,
0.741676234,65,Hepatitis,loop,,,
0.652765684,70,InternetAds,loop,,,
0.77426566,70,PageBlocks,loop,,,
0.575608272,19,Parkinson,loop,,,
0.615341952,69,Pima,loop,,,
0.472106894,3,SpamBase,loop,,,
0.773222837,70,Stamps,loop,,,
0.683527224,14,Wilt,loop,,,
0.713129071,31,Annthyroid,inflo,,,
0.752984263,70,Arrhythmia,inflo,,,
0.579784574,69,Cardiotocography,inflo,,,
0.563166667,68,HeartDisease,inflo,,,
0.746286568,64,Hepatitis,inflo,,,
0.680269179,70,InternetAds,inflo,,,
0.753503143,70,PageBlocks,inflo,,,
0.525085034,11,Parkinson,inflo,,,
0.616208955,70,Pima,inflo,,,
0.506937311,2,SpamBase,inflo,,,
0.736820127,70,Stamps,inflo,,,
0.702055723,6,Wilt,inflo,,,
