,Annthyroid_withoutdupl_norm_07.arff,,Arrhythmia_withoutdupl_norm_46.arff,,Cardiotocography_withoutdupl_norm_22.arff,,HeartDisease_withoutdupl_norm_44.arff,,Hepatitis_withoutdupl_norm_16.arff,,InternetAds_withoutdupl_norm_19.arff,,PageBlocks_withoutdupl_norm_09.arff,,Parkinson_withoutdupl_norm_75.arff,,Pima_withoutdupl_norm_35.arff,,SpamBase_withoutdupl_norm_40.arff,,Stamps_withoutdupl_norm_09.arff,,Wilt_withoutdupl_norm_05.arff,
,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K,ROC AUC,K
expon,67.6%,2,75.7%,35,55.6%,69,69.5%,69,77.0%,25,72.1%,14,87.0%,69,71.7%,6,73.4%,64,64.9%,51,91.7%,63,56.0%,3
chi2,67.6%,2,76.1%,46,55.7%,69,70.0%,66,78.9%,40,72.2%,14,87.1%,69,73.8%,6,73.7%,66,65.0%,49,91.9%,67,55.1%,2
gamma,67.6%,2,76.1%,41,55.7%,69,70.0%,66,78.5%,26,72.2%,14,87.0%,68,73.8%,6,73.6%,69,65.0%,49,91.9%,67,56.1%,3
weibull_min,67.6%,2,76.0%,44,55.8%,68,70.2%,68,79.0%,26,70.4%,6,87.1%,68,74.1%,4,73.6%,68,65.0%,41,91.9%,68,55.6%,3
lognorm,67.6%,2,76.0%,45,55.6%,69,69.9%,69,79.1%,25,72.2%,14,87.1%,69,73.9%,6,73.6%,63,65.1%,40,92.1%,64,56.2%,2
invgauss,67.7%,2,76.0%,45,55.6%,67,69.9%,69,79.2%,26,72.2%,14,87.1%,68,73.7%,6,73.6%,63,65.1%,40,92.2%,64,56.2%,2
rayleigh,67.6%,2,76.0%,45,55.8%,69,69.8%,68,79.0%,26,72.2%,14,86.9%,69,73.8%,6,73.6%,69,65.0%,40,91.7%,67,56.1%,3
wald_gen,67.6%,2,76.0%,44,55.8%,69,69.9%,68,78.6%,26,72.2%,14,87.1%,69,73.9%,6,73.6%,68,65.0%,40,91.9%,57,56.2%,2
pareto,67.6%,2,76.1%,35,55.6%,69,70.2%,69,78.5%,25,72.1%,14,87.2%,69,73.8%,6,73.6%,64,65.0%,40,92.0%,63,56.2%,3
levy_gen,67.7%,2,76.1%,37,55.8%,69,70.3%,68,79.3%,25,72.2%,14,87.1%,69,73.4%,6,73.5%,68,64.9%,45,91.6%,54,56.1%,3
nakagami,67.6%,2,76.0%,38,55.7%,69,70.0%,68,78.7%,26,72.2%,14,87.2%,69,73.6%,4,73.7%,68,65.0%,44,91.8%,66,56.2%,3
logistic,67.4%,2,76.1%,29,55.7%,68,69.8%,69,78.5%,25,72.2%,14,86.7%,69,73.7%,6,73.7%,67,65.0%,40,91.9%,63,56.2%,2
powerlaw,67.5%,2,76.1%,45,55.8%,69,69.6%,69,78.8%,26,72.2%,14,86.9%,69,73.6%,6,73.7%,69,65.0%,39,91.8%,61,56.3%,2
skewnorm,67.5%,2,76.2%,45,55.7%,69,69.9%,66,78.5%,26,72.2%,14,87.0%,69,74.0%,6,73.5%,68,65.1%,41,91.8%,66,56.2%,2
