,literature/ALOI/ALOI_withoutdupl_norm.arff,literature/Glass/Glass_withoutdupl_norm.arff,literature/Ionosphere/Ionosphere_withoutdupl_norm.arff,literature/KDDCup99/KDDCup99_withoutdupl_norm_idf.arff,literature/Lymphography/Lymphography_withoutdupl_norm_idf.arff,literature/PenDigits/PenDigits_withoutdupl_norm_v10.arff,literature/Shuttle/Shuttle_withoutdupl_norm_v10.arff,literature/Waveform/Waveform_withoutdupl_norm_v10.arff,literature/WBC/WBC_withoutdupl_norm_v10.arff,literature/WDBC/WDBC_withoutdupl_norm_v10.arff,literature/WPBC/WPBC_withoutdupl_norm.arff
<scipy.stats._continuous_distns.expon_gen object at 0x0000015138120350>,"[0.7427896248395957, 3]","[0.8712737127371273, 2]","[0.9013932980599647, 2]","[0.949934412372425, 69]","[0.9929577464788732, 13]","[0.9908560113728677, 12]","[0.8417307692307692, 5]","[0.7854636553993419, 62]","[0.9882629107981221, 10]","[0.984873949579832, 42]","[0.5323376074397632, 14]"
<scipy.stats._continuous_distns.chi2_gen object at 0x00000151381129D0>,"[0.7439105914778037, 3]","[0.8780487804878049, 2]","[0.9006349206349207, 2]","[0.9688893932753115, 69]","[1.0, 38]","[0.9841287571080423, 6]","[0.8447692307692307, 5]","[0.7855160035895901, 66]","[0.9983568075117372, 30]","[0.9896358543417368, 56]","[0.5315626320980695, 26]"
<scipy.stats._continuous_distns.gamma_gen object at 0x0000015137E1AF90>,"[0.7447408432943208, 2]","[0.8804878048780487, 2]","[0.9008641975308642, 2]","[0.9674649886252166, 69]","[0.9999999999999999, 8]","[0.9826056051990251, 12]","[0.8201538461538461, 5]","[0.785513012264433, 66]","[0.9985915492957746, 40]","[0.9887955182072827, 68]","[0.5315626320980695, 26]"
<scipy.stats._continuous_distns.weibull_min_gen object at 0x00000151381236D0>,"[0.7439272574062171, 2]","[0.8745257452574526, 10]","[0.900952380952381, 2]","[0.9676234529250934, 69]","[1.0, 8]","[0.982245125913891, 9]","[0.8392307692307692, 5]","[0.7847442416990726, 67]","[0.9981220657276997, 26]","[0.9893557422969189, 64]","[0.5329716781738761, 12]"
<scipy.stats._continuous_distns.lognorm_gen object at 0x0000015138172050>,"[0.7453912632536245, 3]","[0.8753387533875339, 9]","[0.8962962962962963, 5]","[0.9668039989146996, 65]","[0.9999999999999998, 8]","[0.9867536555645817, 12]","[0.8483846153846154, 5]","[0.7854875860005983, 66]","[0.9978873239436619, 69]","[0.9868347338935577, 48]","[0.5306467521487952, 20]"
<scipy.stats._continuous_distns.invgauss_gen object at 0x0000015137C92F10>,"[0.7455685613926408, 3]","[0.8845528455284554, 2]","[0.900758377425044, 2]","[0.9653526182873126, 69]","[0.9999999999999999, 8]","[0.9906326157595452, 12]","[0.8453461538461539, 5]","[0.7856790308106492, 66]","[0.9946009389671362, 4]","[0.9868347338935576, 25]","[0.5307876567563758, 19]"
<scipy.stats._continuous_distns.rayleigh_gen object at 0x0000015138195C50>,"[0.742619665508327, 3]","[0.8753387533875339, 2]","[0.900546737213404, 2]","[0.9571889675036002, 69]","[0.9988262910798122, 4]","[0.9759240454914705, 6]","[0.848423076923077, 5]","[0.7876742446903978, 66]","[0.9896713615023476, 33]","[0.9754901960784313, 20]","[0.5319148936170212, 12]"
<scipy.stats._continuous_distns.wald_gen object at 0x00000151381A6210>,"[0.7435351248180003, 3]","[0.8783197831978319, 2]","[0.9005996472663139, 2]","[0.9485412101099908, 69]","[1.0, 26]","[0.9906554630381804, 9]","[0.8446923076923077, 5]","[0.7861905474125037, 69]","[0.9981220657276997, 69]","[0.9873949579831933, 53]","[0.5317035367056504, 12]"
<scipy.stats._continuous_distns.pareto_gen object at 0x0000015138182BD0>,"[0.7451714856375874, 3]","[0.8794037940379403, 2]","[0.9013932980599647, 2]","[0.964032986872039, 69]","[1.0, 13]","[0.9909575548334688, 12]","[0.8427307692307692, 5]","[0.7857627879150464, 62]","[0.9915492957746478, 4]","[0.9876750700280112, 42]","[0.5333943919966182, 19]"
<scipy.stats._continuous_distns.levy_gen object at 0x000001511F3D2F50>,"[0.7450699712169612, 2]","[0.8845528455284553, 2]","[0.9014814814814816, 2]","[0.9676120259637259, 69]","[1.0, 8]","[0.9909499390739237, 14]","[0.8408461538461538, 5]","[0.7840562369129525, 56]","[0.9985915492957746, 19]","[0.9907563025210084, 50]","[0.5364942933633929, 14]"
