@RELATION 'ALOI'

@ATTRIBUTE 'outlier' {'yes','no'}
@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'att10' real
@ATTRIBUTE 'att11' real
@ATTRIBUTE 'att12' real
@ATTRIBUTE 'att13' real
@ATTRIBUTE 'att14' real
@ATTRIBUTE 'att15' real
@ATTRIBUTE 'att16' real
@ATTRIBUTE 'att17' real
@ATTRIBUTE 'att18' real
@ATTRIBUTE 'att19' real
@ATTRIBUTE 'att20' real
@ATTRIBUTE 'att21' real
@ATTRIBUTE 'att22' real
@ATTRIBUTE 'att23' real
@ATTRIBUTE 'att24' real
@ATTRIBUTE 'att25' real
@ATTRIBUTE 'att26' real
@ATTRIBUTE 'att27' real
@ATTRIBUTE 'id' real

@DATA
'yes',0.8728117766203703,4.521122685185185E-6,0.0,3.616898148148148E-5,0.0,0.0,0.0,0.0,0.0,0.05032687717013889,4.521122685185185E-6,0.0,0.005631058304398148,0.004163953993055556,0.0,2.2605613425925925E-6,2.0345052083333332E-5,0.0,0.01421214916087963,1.0398582175925926E-4,0.0,0.025490089699074073,0.004937065972222222,1.1302806712962962E-5,5.425347222222222E-5,0.006804289641203704,0.015385380497685185,1.0
'yes',0.9752061631944444,0.0,0.0,6.510416666666666E-4,0.0,0.0,0.0,0.0,0.0,0.007039388020833333,0.0,0.0,0.009996202256944444,4.7019675925925923E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004853425202546296,0.001582392939814815,0.0,0.0,2.0118995949074074E-4,0.0,2.0
'yes',0.9637767650462963,0.0,0.0,0.00200511791087963,0.0,0.0,0.0,0.0,0.0,0.006641529224537037,2.2605613425925925E-6,0.0,0.012351707175925927,6.7138671875E-4,0.0,0.0,6.781684027777777E-6,0.0,0.0,0.0,0.0,0.007828323929398149,0.0025227864583333335,0.0,3.933376736111111E-4,0.003800003616898148,0.0,3.0
'yes',0.9732462565104166,0.0,0.0,5.560980902777778E-4,0.0,0.0,0.0,0.0,0.0,0.008978949652777778,2.2605613425925925E-6,0.0,0.012433087384259259,2.147533275462963E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004392270688657407,1.6954210069444444E-4,0.0,0.0,6.781684027777777E-6,0.0,4.0
'yes',0.9607204861111112,0.0,0.0,6.555627893518518E-4,0.0,0.0,0.0,0.0,0.0,0.013319227430555556,0.0,0.0,0.01389114945023148,2.0571108217592592E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010299117476851851,5.60619212962963E-4,0.0,8.364076967592593E-5,2.644856770833333E-4,0.0,5.0
'yes',0.9788321035879629,0.004378707320601852,6.781684027777777E-6,2.712673611111111E-4,0.0011800130208333333,4.521122685185185E-6,0.0,0.0,0.0,9.720413773148148E-5,1.7858434606481482E-4,0.0,2.3961950231481482E-4,0.010504828559027778,6.555627893518519E-5,0.0,6.374782986111111E-4,6.781684027777778E-5,2.2605613425925925E-6,0.0,0.0,0.0,1.853660300925926E-4,2.0345052083333332E-5,2.2605613425925925E-6,0.002143012152777778,0.001182273582175926,6.0
'yes',0.9399346245659722,0.034003363715277776,7.550274884259259E-4,7.233796296296296E-5,0.0034134476273148147,0.0012274848090277778,0.0,0.0,0.0,1.1302806712962962E-5,1.9214771412037038E-4,0.0,1.1076750578703704E-4,0.007093641493055556,0.001491970486111111,0.0,0.0011890552662037037,5.4931640625E-4,0.0,0.0,0.0,0.0,4.9732349537037034E-5,5.199291087962963E-5,0.0,0.0017994068287037037,0.008054380063657407,7.0
'yes',0.7839898003472222,0.16343632450810186,0.014752423321759259,2.9161241319444444E-4,0.002007378472222222,0.012803819444444444,0.0,4.521122685185185E-6,0.0012907805266203704,4.521122685185185E-6,3.2099971064814816E-4,2.124927662037037E-4,6.397388599537037E-4,0.005156340422453704,0.0026878074363425927,2.2605613425925925E-6,3.639503761574074E-4,0.0018830475983796296,0.0,0.0,0.0,0.0,6.781684027777777E-6,3.7299262152777775E-4,0.0,3.955982349537037E-4,0.009376808449074073,8.0
'yes',0.9643486870659722,0.018367060908564815,2.4866174768518517E-5,2.1927445023148148E-4,0.002231174045138889,5.6514033564814815E-5,0.0,0.0,0.0,3.390842013888889E-5,1.3789424189814814E-4,0.0,7.731119791666666E-4,0.009297688802083334,2.5318287037037036E-4,0.0,7.550274884259259E-4,1.4015480324074074E-4,0.0,0.0,0.0,0.0,1.537181712962963E-4,4.521122685185185E-6,0.0,0.0017903645833333333,0.0014128508391203704,9.0
'yes',0.9236472800925926,2.2605613425925925E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06032986111111111,6.103515625E-5,0.0,0.0028370044849537037,0.0021226671006944445,1.3563368055555555E-5,0.0,1.808449074074074E-5,2.2605613425925925E-6,0.008144802517361112,3.029152199074074E-4,1.3563368055555555E-5,3.5490813078703704E-4,9.675202546296296E-4,6.555627893518519E-5,4.295066550925926E-5,8.544921875E-4,2.1927445023148148E-4,10.0
'yes',0.9167073567708334,0.0,0.0,6.781684027777777E-6,0.0,0.0,0.0,0.0,0.0,0.052286783854166664,4.521122685185185E-5,4.521122685185185E-6,0.002945511429398148,0.0017948857060185186,2.2605613425925925E-6,0.0,2.2605613425925925E-6,0.0,0.01832184968171296,6.306966145833334E-4,1.5823929398148147E-5,7.595486111111111E-4,0.003268771701388889,1.9440827546296296E-4,2.0345052083333332E-5,0.0015055338541666667,0.001487449363425926,11.0
'yes',0.7143961588541666,0.002685546875,0.0,0.002513744212962963,0.01746735749421296,0.027443214699074073,2.2605613425925925E-6,0.0,0.0,0.04812056929976852,4.498517071759259E-4,0.0,0.013579191984953705,0.013563368055555556,0.01471851490162037,1.537181712962963E-4,0.001376681857638889,0.014381691261574073,0.020756474247685185,6.781684027777777E-6,0.0,0.02808521412037037,0.005262586805555556,1.2885199652777778E-4,0.05154079861111111,0.004301848234953704,0.019065574363425927,12.0
'yes',0.9097742151331019,1.808449074074074E-5,0.0,6.555627893518519E-5,6.781684027777777E-6,0.0,0.0,0.0,0.0,0.010048195167824073,1.1302806712962962E-5,0.0,0.011867947048611112,2.6222511574074077E-4,0.0,0.0,0.0,0.0,4.2724609375E-4,0.0,0.0,0.025370279947916668,1.4241536458333334E-4,0.0,0.041045012297453706,9.177879050925925E-4,4.295066550925926E-5,13.0
'yes',0.9054520218460648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017781575520833332,0.0,0.0,0.024909125434027776,4.521122685185185E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039492006655092594,7.889359085648148E-4,0.0,0.005316840277777778,0.006254973234953704,0.0,14.0
'yes',0.9140579788773148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024400499131944444,0.0,0.0,0.030402289496527776,1.808449074074074E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029629177517361112,3.074363425925926E-4,0.0,6.939923321759259E-4,4.905418113425925E-4,0.0,15.0
'yes',0.6111992730034722,0.0010782877604166667,0.0,0.0013789424189814814,9.494357638888889E-4,1.5823929398148147E-5,0.0,0.0,0.0,0.032246907552083336,6.442599826388889E-4,0.0,0.02313006365740741,0.06064633969907408,3.5490813078703704E-4,0.0,0.001076027199074074,2.8935185185185184E-4,0.009856047453703705,9.04224537037037E-4,1.1302806712962962E-5,0.001460322627314815,0.011802390769675927,5.176685474537037E-4,1.5823929398148147E-5,0.03008807146990741,0.2123345269097222,16.0
'yes',0.6199024341724537,7.685908564814815E-4,0.0,8.906611689814815E-4,9.449146412037037E-4,4.521122685185185E-6,0.0,9.04224537037037E-6,0.0,0.037618001302083336,6.917317708333334E-4,0.0,0.022677951388888888,0.055908203125,2.9387297453703704E-4,1.1302806712962962E-5,0.0010308159722222222,4.3628833912037036E-4,0.008176450376157407,0.0013066044560185186,4.521122685185185E-6,0.001254611545138889,0.01241500289351852,5.041051793981482E-4,2.2605613425925925E-5,0.03153030960648148,0.20359745732060186,17.0
'yes',0.5893125180844907,1.6728153935185186E-4,0.0,8.386682581018518E-4,9.720413773148148E-5,0.0,0.0,0.0,0.0,0.04792163990162037,5.086263020833334E-4,0.0,0.05289487485532408,0.030494972511574073,3.8429542824074075E-5,9.04224537037037E-6,4.543728298611111E-4,1.808449074074074E-5,0.01629864728009259,5.38013599537037E-4,2.2605613425925925E-6,0.0030268916377314816,0.03321894892939815,2.1927445023148148E-4,1.514576099537037E-4,0.05957483362268518,0.1642139576099537,18.0
'yes',0.9482467086226852,4.295066550925926E-5,0.0,9.856047453703704E-4,4.295066550925926E-5,0.0,0.0,0.0,0.0,0.003228081597222222,4.295066550925926E-5,0.0,0.01251220703125,0.011381926359953705,1.1302806712962962E-5,0.0,6.193938078703704E-4,3.8429542824074075E-5,0.0,0.0,0.0,4.521122685185185E-6,9.132667824074075E-4,1.1302806712962962E-5,0.0,0.002789532696759259,0.019128870081018517,19.0
'yes',0.8874308268229166,5.8774594907407404E-5,0.0,0.0014490198206018518,4.0690104166666664E-5,0.0,0.0,0.0,0.0,0.00894730179398148,5.8774594907407404E-5,0.0,0.031378851996527776,0.04398374204282408,1.3563368055555555E-5,1.1302806712962962E-5,5.900065104166666E-4,2.0345052083333332E-5,0.0,0.0,0.0,3.1647858796296295E-5,0.004573115596064815,4.7471788194444445E-5,1.5823929398148147E-5,0.008425112123842593,0.012923629195601851,20.0
'yes',0.8557241934317129,2.712673611111111E-5,0.0,0.0029703776041666665,5.199291087962963E-5,0.0,2.2605613425925925E-6,4.521122685185185E-6,0.0,0.006338614004629629,3.616898148148148E-4,2.2605613425925925E-6,0.01796242042824074,0.0691799587673611,2.4866174768518517E-5,2.2605613425925925E-5,0.0022017867476851853,4.295066550925926E-5,0.0,1.5823929398148147E-5,0.0,4.521122685185185E-6,0.0038090458622685184,2.0797164351851852E-4,4.521122685185185E-6,0.009919343171296295,0.031121148003472224,21.0
'yes',0.9957704897280093,6.555627893518519E-5,0.0,2.8709129050925923E-4,6.781684027777778E-5,0.0,0.0,0.0,0.0,4.3628833912037036E-4,2.4866174768518517E-5,0.0,7.889359085648148E-4,0.0015055338541666667,2.2605613425925925E-6,0.0,1.808449074074074E-4,0.0,0.0,2.2605613425925925E-6,0.0,2.2605613425925925E-6,1.7180266203703704E-4,0.0,0.0,2.712673611111111E-4,4.227249710648148E-4,22.0
'yes',0.8780042860243056,0.002728497540509259,0.0,0.003937897858796296,0.10644079137731481,3.1195746527777775E-4,0.0,4.521122685185185E-5,2.0345052083333332E-5,1.1528862847222222E-4,7.233796296296296E-5,0.0,9.200484664351852E-4,0.0036146375868055555,2.3961950231481482E-4,0.0,3.4812644675925923E-4,0.00251148365162037,0.0,0.0,0.0,0.0,5.199291087962963E-5,2.2605613425925925E-6,0.0,2.2153501157407408E-4,4.1368272569444444E-4,23.0
'yes',0.9625198929398148,0.0010579427083333333,4.521122685185185E-6,0.007475676359953704,6.21654369212963E-4,9.04224537037037E-6,0.0,0.0,0.0,0.001408329716435185,6.781684027777777E-6,0.0,0.014621310763888888,0.011546947337962963,1.0850694444444444E-4,2.2605613425925925E-6,2.712673611111111E-5,9.04224537037037E-6,0.0,0.0,0.0,4.521122685185185E-6,9.946469907407407E-5,6.781684027777777E-6,0.0,1.6728153935185186E-4,3.029152199074074E-4,24.0
'yes',0.9267645941840278,0.001953125,0.0,4.227249710648148E-4,0.002712673611111111,3.7525318287037036E-4,0.0,0.0,0.0,0.00459572120949074,2.4866174768518517E-5,0.0,0.011659975405092593,0.00496193214699074,1.220703125E-4,2.2605613425925925E-6,2.3509837962962962E-4,9.946469907407407E-5,1.3563368055555555E-5,0.0,0.0,0.002791793258101852,9.381329571759259E-4,4.521122685185185E-6,0.022117332175925927,0.003707320601851852,0.01649757667824074,25.0
'yes',0.9474283854166666,6.103515625E-5,0.0,1.5597873263888888E-4,0.001469364872685185,4.521122685185185E-6,0.0,0.0,0.0,0.005477340133101852,4.521122685185185E-6,0.0,0.010102448640046295,0.004116482204861111,2.0345052083333332E-5,0.0,1.5823929398148147E-5,9.04224537037037E-6,0.0,0.0,0.0,0.003130877459490741,7.233796296296296E-4,0.0,0.017035590277777776,0.002875434027777778,0.007369429976851852,26.0
'yes',0.9434430157696759,6.555627893518519E-5,0.0,4.3628833912037036E-4,0.0014806676793981482,6.781684027777777E-6,0.0,0.0,0.0,0.005850332754629629,4.521122685185185E-6,0.0,0.01092529296875,0.004213686342592593,3.1647858796296295E-5,2.2605613425925925E-6,3.1647858796296295E-5,1.1302806712962962E-5,0.0,0.0,0.0,0.0036146375868055555,4.4307002314814816E-4,2.2605613425925925E-6,0.018102575231481483,0.0031489619502314816,0.008185492621527778,27.0
'yes',0.9440149377893519,5.696614583333334E-4,0.0,7.188585069444445E-4,8.748372395833334E-4,4.521122685185185E-6,0.0,1.5823929398148147E-5,0.0,0.0036033347800925927,3.616898148148148E-5,0.0,0.007373951099537037,0.0022289134837962963,2.4866174768518517E-5,2.712673611111111E-5,2.418800636574074E-4,2.2605613425925925E-6,3.684714988425926E-4,6.781684027777777E-6,0.0,0.003002025462962963,6.804289641203704E-4,1.808449074074074E-5,0.02158836082175926,0.002425582320601852,0.012173122829861112,28.0
'yes',0.8740889937789352,8.522316261574075E-4,1.808449074074074E-5,0.0010240342881944445,4.543728298611111E-4,1.3563368055555555E-5,4.521122685185185E-6,2.2605613425925925E-6,4.521122685185185E-6,0.05232973451967592,3.955982349537037E-4,2.2605613425925925E-6,0.03473804615162037,0.024626555266203703,1.5823929398148148E-4,4.521122685185185E-5,3.4812644675925923E-4,9.04224537037037E-5,9.04224537037037E-6,2.4866174768518517E-5,2.2605613425925925E-6,4.1368272569444444E-4,0.0037864402488425927,7.685908564814815E-5,5.425347222222222E-5,0.004873770254629629,0.0015620478877314814,29.0
'yes',0.7829002097800926,7.233796296296296E-5,0.0,4.4533058449074077E-4,5.199291087962963E-5,0.0,2.2605613425925925E-6,2.2605613425925925E-6,0.0,0.10774061414930555,2.3509837962962962E-4,4.521122685185185E-6,0.055024323640046294,0.004331235532407407,4.521122685185185E-5,8.138020833333333E-5,1.4467592592592592E-4,2.0345052083333332E-5,1.7180266203703704E-4,4.521122685185185E-5,0.0,0.01733624493634259,0.013884367766203705,9.04224537037037E-5,4.543728298611111E-4,0.015138979311342593,0.0017768012152777778,30.0
'yes',0.8591851128472222,0.003673412181712963,9.04224537037037E-6,7.279007523148148E-4,0.0010240342881944445,4.521122685185185E-6,0.0,0.0,2.2605613425925925E-6,0.037543402777777776,5.560980902777778E-4,2.2605613425925925E-6,0.058783637152777776,0.017923990885416668,1.808449074074074E-4,9.04224537037037E-6,3.5942925347222225E-4,8.364076967592593E-5,6.781684027777777E-6,4.521122685185185E-6,0.0,0.002952293113425926,0.003395363136574074,6.103515625E-5,1.808449074074074E-5,0.0084228515625,0.005070439091435185,31.0
'yes',0.9504371925636574,1.3563368055555555E-5,0.0,3.8429542824074077E-4,9.04224537037037E-6,0.0,0.0,0.0,0.0,0.0035536024305555555,2.712673611111111E-5,0.0,0.008682816116898149,0.018489131221064815,1.808449074074074E-5,0.0,9.04224537037037E-5,6.781684027777777E-6,0.0,0.0,0.0,0.0,0.00398536964699074,9.04224537037037E-6,0.0,0.012315538194444444,0.0019779911747685184,32.0
'yes',0.8345156069155093,4.295066550925926E-5,0.0,4.249855324074074E-4,4.521122685185185E-5,0.0,0.0,0.0,0.0,0.0037095811631944445,1.0398582175925926E-4,0.0,0.009666160300925927,0.009620949074074073,0.0,2.2605613425925925E-6,3.5038700810185184E-4,4.521122685185185E-6,0.0,2.2605613425925925E-6,0.0,4.521122685185185E-5,0.005927191840277778,3.616898148148148E-5,2.2605613425925925E-6,0.020426432291666668,0.11507387514467593,33.0
'yes',0.8504977756076388,5.809642650462963E-4,3.5038700810185184E-4,5.696614583333334E-4,2.418800636574074E-4,2.712673611111111E-5,0.0,0.0,0.0,9.087456597222222E-4,3.5942925347222225E-4,1.3563368055555555E-5,0.0035445601851851853,0.013160988136574073,1.4015480324074074E-4,4.521122685185185E-6,7.708514178240741E-4,8.590133101851852E-5,0.0,6.781684027777777E-6,0.0,6.781684027777777E-6,0.0013947663483796296,6.781684027777778E-5,2.2605613425925925E-6,0.008721245659722222,0.11854383680555555,34.0
