,ROC AUC,k,Dataset
0,74.86%,3,ALOI
1,87.99%,2,Glass
2,90.04%,2,Ionosphere
3,95.40%,70,KDDCup99
4,100.00%,3,Lymphography
5,99.13%,21,PenDigits
6,78.00%,14,Shuttle
7,77.77%,70,Waveform
8,99.72%,22,WBC
9,98.71%,57,WDBC
10,52.70%,29,WPBC
0,75.24%,9,ALOI
1,78.10%,26,Glass
2,83.22%,50,Ionosphere
3,77.09%,70,KDDCup100
4,99.65%,44,Lymphography
5,72.92%,70,PenDigits
6,77.98%,22,Shuttle
7,69.59%,67,Waveform
8,94.37%,70,WBC
9,97.96%,70,WDBC
10,50.18%,61,WPBC
0,74.62%,3,ALOI
1,87.99%,2,Glass
2,90.04%,2,Ionosphere
3,97.01%,70,KDDCup101
4,100.00%,8,Lymphography
5,99.12%,12,PenDigits
6,84.68%,5,Shuttle
7,78.57%,66,Waveform
8,99.74%,25,WBC
9,98.96%,70,WDBC
10,53.10%,19,WPBC
0,52.26%,62,ALOI
1,83.96%,19,Glass
2,86.25%,70,Ionosphere
3,50.00%,2,KDDCup102
4,82.75%,33,Lymphography
5,86.69%,59,PenDigits
6,77.30%,48,Shuttle
7,65.14%,70,Waveform
8,97.54%,11,WBC
9,90.08%,69,WDBC
10,57.13%,34,WPBC
0,74.86%,3,ALOI
1,87.99%,2,Glass
2,90.04%,2,Ionosphere
3,95.40%,70,KDDCup103
4,100.00%,3,Lymphography
5,99.13%,21,PenDigits
6,78.00%,14,Shuttle
7,77.77%,70,Waveform
8,99.72%,22,WBC
9,98.71%,57,WDBC
10,52.70%,29,WPBC
0,83.45%,10,ALOI
1,85.09%,20,Glass
2,86.38%,16,Ionosphere
3,66.52%,61,KDDCup104
4,99.88%,59,Lymphography
5,96.24%,70,PenDigits
6,82.08%,11,Shuttle
7,72.59%,70,Waveform
8,97.28%,70,WBC
9,98.38%,69,WDBC
10,49.61%,61,WPBC
0,83.60%,10,ALOI
1,83.79%,18,Glass
2,86.06%,16,Ionosphere
3,66.46%,54,KDDCup105
4,99.88%,59,Lymphography
5,96.95%,70,PenDigits
6,77.84%,10,Shuttle
7,71.50%,70,Waveform
8,99.48%,67,WBC
9,98.91%,70,WDBC
10,49.27%,57,WPBC
