,ROC AUC,k,,,,,,,,,,,,,,,,,,,,,,,
0,0.766592457,14,ABOD,0.766592,14,0.5,2,0.920741,69,0.589693,70,0.991784,60,0.5,2,0.5,2,0.523072,5,0.762911,13,0.5,2,0.54516,4
1,0.5,2,COF,0.768445,30,0.898645,62,0.880176,13,0.605709,69,0.964789,14,0.982936,69,0.630231,64,0.762504,58,0.989671,58,0.977031,64,0.506411,47
2,0.920740741,69,,,,,,,,,,,,,,,,,,,,,,,
3,0.589692672,70,,,,,,,,,,,,,,,,,,,,,,,
4,0.991784038,60,,,,,,,,,,,,,,,,,,,,,,,
5,0.5,2,,,,,,,,,,,,,,,,,,,,,,,
6,0.5,2,,,,,,,,,,,,,,,,,,,,,,,
7,0.523072091,5,,,,,,,,,,,,,,,,,,,,,,,
8,0.762910798,13,,,,,,,,,,,,,,,,,,,,,,,
9,0.5,2,,,,,,,,,,,,,,,,,,,,,,,
10,0.545159927,4,,,,,,,,,,,,,,,,,,,,,,,
0,0.768444792,30,,,,,,,,,,,,,,,,,,,,,,,
1,0.898644986,62,,,,,,,,,,,,,,,,,,,,,,,
2,0.880176367,13,,,,,,,,,,,,,,,,,,,,,,,
3,0.605709306,69,,,,,,,,,,,,,,,,,,,,,,,
4,0.964788732,14,,,,,,,,,,,,,,,,,,,,,,,
5,0.982935621,69,,,,,,,,,,,,,,,,,,,,,,,
6,0.630230769,64,,,,,,,,,,,,,,,,,,,,,,,
7,0.762503739,58,,,,,,,,,,,,,,,,,,,,,,,
8,0.989671362,58,,,,,,,,,,,,,,,,,,,,,,,
9,0.977030812,64,,,,,,,,,,,,,,,,,,,,,,,
10,0.50641116,47,,,,,,,,,,,,,,,,,,,,,,,
