,ROC AUC,k,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.713374393,46,,,,,,,,,,,,,,  ,,,,,,,,,,,
1,0.675294445,70,,71.34%,46,67.53%,70,50.00%,2,60.11%,66,68.08%,28,54.84%,14,50.78%,70,58.19%,8,51.13%,23,54.71%,70,76.48%,69,85.03%,29
2,0.5,2,,62.62%,55,75.52%,41,56.92%,70,56.47%,70,73.02%,51,68.49%,32,69.91%,70,70.95%,70,66.15%,70,48.71%,3,63.50%,70,59.82%,2
3,0.601055556,66,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.680826636,28,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.548353581,14,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.507814627,70,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.5819161,8,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.511283582,23,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.547085507,70,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.764797996,69,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.850330168,29,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.626163278,55,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.755192583,41,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.569222936,70,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.564722222,70,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.730195178,51,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.684905044,32,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.699147904,70,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.70946712,70,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.661537313,70,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.487051751,3,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.635034972,70,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.598158191,2,,,,,,,,,,,,,,,,,,,,,,,,,
